station_complex_name,borough,routes,route_count,station_geom,line_ACE,line_123,line_BDFM,line_456,line_NQRW,line_7,line_L,line_G,line_JZ,ridership_2013,rider_change,emp_change,bus_change,pop_change,women_share_change,med_age_change,college_age_change,young_prof_age_change,med_income_change,med_rent_change,housing_units_change,renter_share_change
1 Av,Manhattan,L,1,POINT (-73.981628 40.730953),0,0,0,0,0,0,1,0,0,23467.0,-2469.0,-4048.0,-148.0,-4453.0,-1.9586454863054326,0.13333333333333286,-1468.0,-1947.0,13726.0,412.6666666666665,-79.0,-0.8516599845487582
103 St,Manhattan,1,1,POINT (-73.968379 40.799446),0,1,0,0,0,0,0,0,0,13500.0,-931.0,8280.0,135.0,544.0,0.6964957123712479,1.7090909090909037,-9654.0,-1080.0,13607.36363636364,179.45454545454527,11028.0,-1.377596138029935
103 St,Manhattan,6,1,POINT (-73.947478 40.7906),0,0,0,1,0,0,0,0,0,16189.0,-2904.0,8280.0,135.0,544.0,0.6964957123712479,1.7090909090909037,-9654.0,-1080.0,13607.36363636364,179.45454545454527,11028.0,-1.377596138029935
103 St,Manhattan,B C,2,POINT (-73.961454 40.796092),1,0,1,0,0,0,0,0,0,4760.0,684.0,8280.0,135.0,544.0,0.6964957123712479,1.7090909090909037,-9654.0,-1080.0,13607.36363636364,179.45454545454527,11028.0,-1.377596138029935
103 St - Corona Plaza,Queens,7,1,POINT (-73.8627 40.749865),0,0,0,0,0,1,0,0,0,19216.0,466.0,4694.0,359.0,-2205.0,1.1950086400854099,1.7333333333333272,-6600.0,-5607.0,5349.666666666664,172.66666666666652,822.0,-0.981243443186719
104 St,Queens,A,1,POINT (-73.837683 40.681711),1,0,0,0,0,0,0,0,0,1736.0,105.0,4526.0,566.0,4266.0,-0.6737409143456774,1.9250000000000043,-2587.0,400.0,10781.75,212.75,-744.0,-1.068139998144818
104 St,Queens,J Z,2,POINT (-73.84433 40.695178),0,0,0,0,0,0,0,0,1,2575.0,-988.0,4526.0,566.0,4266.0,-0.6737409143456774,1.9250000000000043,-2587.0,400.0,10781.75,212.75,-744.0,-1.068139998144818
110 St,Manhattan,6,1,POINT (-73.94425 40.79502),0,0,0,1,0,0,0,0,0,12162.0,-1311.0,4622.0,170.0,5890.0,0.7815120361162164,1.7333333333333272,-2299.0,4732.0,7817.666666666664,173.0,4882.0,1.1000335852151433
111 St,Queens,7,1,POINT (-73.855334 40.75173),0,0,0,0,0,1,0,0,0,10914.0,177.0,6725.0,772.0,3899.0,0.21411640014524225,1.9499999999999957,-6136.0,-3246.0,8516.699999999997,199.4000000000001,767.0,-1.3609417966045534
111 St,Queens,A,1,POINT (-73.832163 40.684331),1,0,0,0,0,0,0,0,0,2718.0,-122.0,6725.0,772.0,3899.0,0.21411640014524225,1.9499999999999957,-6136.0,-3246.0,8516.699999999997,199.4000000000001,767.0,-1.3609417966045534
111 St,Queens,J,1,POINT (-73.836345 40.697418),0,0,0,0,0,0,0,0,1,2605.0,214.0,6725.0,772.0,3899.0,0.21411640014524225,1.9499999999999957,-6136.0,-3246.0,8516.699999999997,199.4000000000001,767.0,-1.3609417966045534
116 St,Manhattan,6,1,POINT (-73.941617 40.798629),0,0,0,1,0,0,0,0,0,16675.0,-1960.0,27492.0,663.0,14293.0,0.02748613762906249,1.6214285714285666,-8799.0,9611.0,9279.28571428571,174.71428571428567,18590.0,-0.4474247692345501
116 St,Manhattan,2 3,2,POINT (-73.949625 40.802098),0,1,0,0,0,0,0,0,0,11508.0,-801.0,27492.0,663.0,14293.0,0.02748613762906249,1.6214285714285666,-8799.0,9611.0,9279.28571428571,174.71428571428567,18590.0,-0.4474247692345501
116 St,Manhattan,B C,2,POINT (-73.954882 40.805085),1,0,1,0,0,0,0,0,0,6594.0,1019.0,27492.0,663.0,14293.0,0.02748613762906249,1.6214285714285666,-8799.0,9611.0,9279.28571428571,174.71428571428567,18590.0,-0.4474247692345501
116 St - Columbia University,Manhattan,1,1,POINT (-73.96411 40.807722),0,1,0,0,0,0,0,0,0,16363.0,-1284.0,5538.0,139.0,-1162.0,-0.3787961679918572,1.63333333333334,-2494.0,-833.0,13810.666666666672,190.66666666666674,2376.0,-1.8360360017801391
121 St,Queens,J Z,2,POINT (-73.828294 40.700492),0,0,0,0,0,0,0,0,1,2222.0,-868.0,1885.0,223.0,2341.0,-1.0564823857930783,1.1999999999999957,-393.0,-254.0,8257.0,205.66666666666652,283.0,-1.1229227556040389
125 St,Manhattan,1,1,POINT (-73.958372 40.815581),0,1,0,0,0,0,0,0,0,7995.0,-316.0,43228.0,1212.0,39761.0,-0.448957415050133,0.8333333333333286,-10047.0,31808.0,8223.52380952381,205.19047619047615,22422.0,0.9612833375121532
125 St,Manhattan,2 3,2,POINT (-73.945495 40.807754),0,1,0,0,0,0,0,0,0,15351.0,-605.0,43228.0,1212.0,39761.0,-0.448957415050133,0.8333333333333286,-10047.0,31808.0,8223.52380952381,205.19047619047615,22422.0,0.9612833375121532
125 St,Manhattan,4 5 6,3,POINT (-73.937594 40.804138),0,0,0,1,0,0,0,0,0,29425.0,-1820.0,43228.0,1212.0,39761.0,-0.448957415050133,0.8333333333333286,-10047.0,31808.0,8223.52380952381,205.19047619047615,22422.0,0.9612833375121532
125 St,Manhattan,A B C D,4,POINT (-73.952343 40.811109),1,0,1,0,0,0,0,0,0,27395.0,282.0,43228.0,1212.0,39761.0,-0.448957415050133,0.8333333333333286,-10047.0,31808.0,8223.52380952381,205.19047619047615,22422.0,0.9612833375121532
135 St,Manhattan,2 3,2,POINT (-73.94077 40.814229),0,1,0,0,0,0,0,0,0,14690.0,-347.0,16773.0,536.0,21812.0,-0.6963684890536115,0.6999999999999957,-5413.0,16706.0,7233.25,203.9999999999999,11470.0,0.11164735073506682
135 St,Manhattan,B C,2,POINT (-73.947649 40.817894),1,0,1,0,0,0,0,0,0,5592.0,-102.0,16773.0,536.0,21812.0,-0.6963684890536115,0.6999999999999957,-5413.0,16706.0,7233.25,203.9999999999999,11470.0,0.11164735073506682
137 St - City College,Manhattan,1,1,POINT (-73.953676 40.822008),0,1,0,0,0,0,0,0,0,14947.0,-1576.0,6891.0,201.0,4503.0,-0.925760765239414,1.2000000000000028,-935.0,4729.0,8594.666666666664,237.0,2411.0,-0.11912869234044221
138 St - Grand Concourse,Bronx,4 5,2,POINT (-73.929849 40.813224),0,0,0,1,0,0,0,0,0,3222.0,-56.0,8309.0,186.0,11716.0,-0.824630579591068,0.8833333333333329,-2538.0,7462.0,4430.333333333332,166.33333333333337,5823.0,-0.18028467496019607
14 St - Union Sq,Manhattan,N Q R W 4 5 6,7,POINT (-73.99025950000001 40.7352045),0,0,0,1,1,0,0,0,0,108158.0,-4586.0,7911.0,-576.0,-8741.0,-1.296448501511982,0.45000000000000284,-2976.0,-3351.0,17685.666666666657,365.16666666666674,-615.0,-1.8467887956731488
14 St / 6 Av,Manhattan,F M 1 2 3 L,6,POINT (-73.9964975 40.7377815),0,1,1,0,0,0,1,0,0,49316.0,-808.0,8960.0,-629.0,-2898.0,-1.7194127959269612,0.6499999999999986,-1984.0,-2489.0,18558.333333333343,370.0000000000002,846.0,-2.5124705723511664
14 St / 8 Av,Manhattan,A C E L,4,POINT (-74.002134 40.740335),1,0,0,0,0,0,1,0,0,42718.0,1313.0,11026.0,-441.0,2464.0,-2.2747222210555584,1.0249999999999986,-2354.0,142.0,17329.0,335.0,1943.0,-2.6635468305811316
145 St,Manhattan,1,1,POINT (-73.95036 40.826551),0,1,0,0,0,0,0,0,0,9931.0,-498.0,55260.0,522.0,30193.0,-0.4036739069197215,0.7875000000000014,-10217.0,29428.0,9116.0,204.0625,14837.0,-0.10691995566688428
145 St,Manhattan,3,1,POINT (-73.936245 40.820421),0,1,0,0,0,0,0,0,0,3426.0,-1321.0,55260.0,522.0,30193.0,-0.4036739069197215,0.7875000000000014,-10217.0,29428.0,9116.0,204.0625,14837.0,-0.10691995566688428
145 St,Manhattan,A B C D,4,POINT (-73.944216 40.824783),1,0,1,0,0,0,0,0,0,22879.0,168.0,55260.0,522.0,30193.0,-0.4036739069197215,0.7875000000000014,-10217.0,29428.0,9116.0,204.0625,14837.0,-0.10691995566688428
149 St - Grand Concourse,Bronx,2 4 5,3,POINT (-73.92703449999999 40.8183925),0,1,0,1,0,0,0,0,0,14380.0,-1299.0,7232.0,153.0,9461.0,-0.7254407664753715,0.6400000000000077,-1863.0,5464.0,4206.799999999999,159.60000000000002,4218.0,-0.14782675751869867
15 St - Prospect Park,Brooklyn,F G,2,POINT (-73.979493 40.660365),0,0,1,0,0,0,0,1,0,6448.0,-312.0,8160.0,595.0,3660.0,-0.31494811979013715,1.4333333333333371,-5964.0,694.0,21663.66666666667,338.0,934.0,-2.3280399627672144
155 St,Manhattan,C,1,POINT (-73.941514 40.830518),1,0,0,0,0,0,0,0,0,2529.0,639.0,45831.0,412.0,21358.0,-0.18448750655484236,1.0538461538461519,-12481.0,23747.0,8968.230769230766,194.07692307692298,12680.0,-0.2536675046728609
155 St,Manhattan,B D,2,POINT (-73.938209 40.830135),0,0,1,0,0,0,0,0,0,3948.0,-353.0,45831.0,412.0,21358.0,-0.18448750655484236,1.0538461538461519,-12481.0,23747.0,8968.230769230766,194.07692307692298,12680.0,-0.2536675046728609
157 St,Manhattan,1,1,POINT (-73.94489 40.834041),0,1,0,0,0,0,0,0,0,10677.0,359.0,21181.0,57.0,8098.0,-0.47531803846961873,0.42500000000000426,-4682.0,10503.0,12793.75,217.0,3866.0,-0.2713616803139862
161 St - Yankee Stadium,Bronx,B D 4,3,POINT (-73.925741 40.8279495),0,0,1,1,0,0,0,0,0,26972.0,-938.0,3648.0,243.0,9520.0,0.6268439970991246,1.2750000000000057,-1574.0,2703.0,3544.25,142.25,4628.0,-0.05422211119419096
163 St - Amsterdam Av,Manhattan,C,1,POINT (-73.939892 40.836013),1,0,0,0,0,0,0,0,0,4080.0,-2369.0,22111.0,160.0,9245.0,-0.05628531096285583,0.5799999999999983,-5063.0,10663.0,10694.599999999999,202.20000000000005,4761.0,-0.06440070988128488
167 St,Bronx,4,1,POINT (-73.9214 40.835537),0,0,0,1,0,0,0,0,0,9904.0,-506.0,10064.0,626.0,25286.0,0.04973009057372968,1.375,-4848.0,8938.0,2647.5,144.5,10102.0,0.06675563122178207
167 St,Bronx,B D,2,POINT (-73.91844 40.833771),0,0,1,0,0,0,0,0,0,9374.0,-3032.0,10064.0,626.0,25286.0,0.04973009057372968,1.375,-4848.0,8938.0,2647.5,144.5,10102.0,0.06675563122178207
168 St,Manhattan,A C 1,3,POINT (-73.939561 40.840719),1,1,0,0,0,0,0,0,0,25041.0,1097.0,20961.0,62.0,8083.0,0.6551148574276966,0.42500000000000426,-3953.0,8212.0,10309.25,177.0,3730.0,0.29317402467357034
169 St,Queens,F,1,POINT (-73.793604 40.71047),0,0,1,0,0,0,0,0,0,9042.0,-933.0,1482.0,84.0,4034.0,0.0008374523629894881,1.2999999999999972,402.0,992.0,7045.0,229.0,553.0,1.2279614413768125
170 St,Bronx,4,1,POINT (-73.917791 40.840075),0,0,0,1,0,0,0,0,0,9525.0,-1385.0,10254.0,666.0,23454.0,0.7622154998168873,0.5749999999999993,-3508.0,10170.0,2057.0,137.5,8914.0,0.5136851973217782
170 St,Bronx,B D,2,POINT (-73.9134 40.839306),0,0,1,0,0,0,0,0,0,6563.0,1350.0,10254.0,666.0,23454.0,0.7622154998168873,0.5749999999999993,-3508.0,10170.0,2057.0,137.5,8914.0,0.5136851973217782
