station_complex_name,borough,routes,route_count,station_geom,line_ACE,line_123,line_BDFM,line_456,line_NQRW,line_7,line_L,line_G,line_JZ,rider_change,emp_change,bus_change,pop_change,women_share_change,med_age_change,college_age_change,young_prof_age_change,med_income_change,med_rent_change,housing_units_change,renter_share_change
1 Av,Manhattan,L,1,POINT (-73.981628 40.730953),0,0,0,0,0,0,1,0,0,-10.521157369923722,-2.1707770931535793,-1.7233348858872848,-2.953113601697725,-1.9586454863054326,0.38572806171648855,-5.927720573389865,-3.7976164933975696,16.44331214260614,23.39380196523053,-0.0977928524565812,-0.8516599845487582
103 St,Manhattan,1,1,POINT (-73.968379 40.799446),0,1,0,0,0,0,0,0,0,-6.896296296296296,4.386081078933568,0.943132597457035,0.07563917886997291,0.6964957123712479,4.698825293676566,-13.412990621743662,-0.5678143877856816,22.06951970216374,14.20961704578173,3.2232325269406474,-1.377596138029935
103 St,Manhattan,6,1,POINT (-73.947478 40.7906),0,0,0,1,0,0,0,0,0,-17.938106121440484,4.386081078933568,0.943132597457035,0.07563917886997291,0.6964957123712479,4.698825293676566,-13.412990621743662,-0.5678143877856816,22.06951970216374,14.20961704578173,3.2232325269406474,-1.377596138029935
103 St,Manhattan,B C,2,POINT (-73.961454 40.796092),1,0,1,0,0,0,0,0,0,14.369747899159663,4.386081078933568,0.943132597457035,0.07563917886997291,0.6964957123712479,4.698825293676566,-13.412990621743662,-0.5678143877856816,22.06951970216374,14.20961704578173,3.2232325269406474,-1.377596138029935
103 St - Corona Plaza,Queens,7,1,POINT (-73.8627 40.749865),0,0,0,0,0,1,0,0,0,2.4250624479600336,12.818482208689478,7.516750418760469,-0.8153349529102466,1.1950086400854099,4.910292728989594,-23.839624345313347,-7.449677805088687,11.277175822477052,13.015075376884411,0.9148071893606367,-0.981243443186719
104 St,Queens,A,1,POINT (-73.837683 40.681711),1,0,0,0,0,0,0,0,0,6.048387096774194,10.607978249660151,12.884133849305712,1.379890346266436,-0.6737409143456774,5.4960742326909475,-7.34922303343655,0.595052141443894,18.335374045541894,16.172557962751803,-0.8138708089482033,-1.068139998144818
104 St,Queens,J Z,2,POINT (-73.84433 40.695178),0,0,0,0,0,0,0,0,1,-38.36893203883495,10.607978249660151,12.884133849305712,1.379890346266436,-0.6737409143456774,5.4960742326909475,-7.34922303343655,0.595052141443894,18.335374045541894,16.172557962751803,-0.8138708089482033,-1.068139998144818
110 St,Manhattan,6,1,POINT (-73.94425 40.79502),0,0,0,1,0,0,0,0,0,-10.779477059694129,11.477526694810033,7.936507936507936,3.957987541411033,0.7815120361162164,5.133267522211234,-12.719929180037623,12.625400213447172,23.564223133188644,21.33168927250308,7.893545466304489,1.1000335852151433
111 St,Queens,7,1,POINT (-73.855334 40.75173),0,0,0,0,0,1,0,0,0,1.6217702034084662,11.364596535699198,12.866666666666667,0.8974875412892608,0.21411640014524225,5.60505892497843,-12.463691576445736,-3.106190371384006,14.87225337331072,15.06611258027957,0.5884428895844842,-1.3609417966045534
111 St,Queens,A,1,POINT (-73.832163 40.684331),1,0,0,0,0,0,0,0,0,-4.488594554819721,11.364596535699198,12.866666666666667,0.8974875412892608,0.21411640014524225,5.60505892497843,-12.463691576445736,-3.106190371384006,14.87225337331072,15.06611258027957,0.5884428895844842,-1.3609417966045534
111 St,Queens,J,1,POINT (-73.836345 40.697418),0,0,0,0,0,0,0,0,1,8.214971209213052,11.364596535699198,12.866666666666667,0.8974875412892608,0.21411640014524225,5.60505892497843,-12.463691576445736,-3.106190371384006,14.87225337331072,15.06611258027957,0.5884428895844842,-1.3609417966045534
116 St,Manhattan,6,1,POINT (-73.941617 40.798629),0,0,0,1,0,0,0,0,0,-11.754122938530735,9.564830148767692,4.862486248624863,1.723979881071562,0.02748613762906249,4.805249788314972,-7.990374137304758,4.472437573873631,23.65302822850816,18.741858861389925,5.195117316312501,-0.4474247692345501
116 St,Manhattan,2 3,2,POINT (-73.949625 40.802098),0,1,0,0,0,0,0,0,0,-6.960375391032326,9.564830148767692,4.862486248624863,1.723979881071562,0.02748613762906249,4.805249788314972,-7.990374137304758,4.472437573873631,23.65302822850816,18.741858861389925,5.195117316312501,-0.4474247692345501
116 St,Manhattan,B C,2,POINT (-73.954882 40.805085),1,0,1,0,0,0,0,0,0,15.453442523506217,9.564830148767692,4.862486248624863,1.723979881071562,0.02748613762906249,4.805249788314972,-7.990374137304758,4.472437573873631,23.65302822850816,18.741858861389925,5.195117316312501,-0.4474247692345501
116 St - Columbia University,Manhattan,1,1,POINT (-73.96411 40.807722),0,1,0,0,0,0,0,0,0,-7.846971826682149,8.413855970829536,3.9143903125880035,-0.5872305157723445,-0.3787961679918572,4.780487804878068,-9.327548806941431,-1.5772333093497934,27.71463928559485,17.254901960784323,2.652377762893503,-1.8360360017801391
121 St,Queens,J Z,2,POINT (-73.828294 40.700492),0,0,0,0,0,0,0,0,1,-39.06390639063906,10.297732859874351,11.650992685475444,2.2260046022478748,-1.0564823857930783,3.3519553072625574,-3.520874395269665,-1.0396201702685004,13.687525901367593,15.66785170137124,0.8239918474304848,-1.1229227556040389
125 St,Manhattan,1,1,POINT (-73.958372 40.815581),0,1,0,0,0,0,0,0,0,-3.952470293933709,14.516903588927285,9.045451153071124,4.246822173066469,-0.448957415050133,2.5003571938848266,-7.787708024897102,13.338421346170781,23.49811613942609,23.129361245303272,5.715480126330923,0.9612833375121532
125 St,Manhattan,2 3,2,POINT (-73.945495 40.807754),0,1,0,0,0,0,0,0,0,-3.941111328252231,14.516903588927285,9.045451153071124,4.246822173066469,-0.448957415050133,2.5003571938848266,-7.787708024897102,13.338421346170781,23.49811613942609,23.129361245303272,5.715480126330923,0.9612833375121532
125 St,Manhattan,4 5 6,3,POINT (-73.937594 40.804138),0,0,0,1,0,0,0,0,0,-6.185216652506372,14.516903588927285,9.045451153071124,4.246822173066469,-0.448957415050133,2.5003571938848266,-7.787708024897102,13.338421346170781,23.49811613942609,23.129361245303272,5.715480126330923,0.9612833375121532
125 St,Manhattan,A B C D,4,POINT (-73.952343 40.811109),1,0,1,0,0,0,0,0,0,1.0293849242562512,14.516903588927285,9.045451153071124,4.246822173066469,-0.448957415050133,2.5003571938848266,-7.787708024897102,13.338421346170781,23.49811613942609,23.129361245303272,5.715480126330923,0.9612833375121532
135 St,Manhattan,2 3,2,POINT (-73.94077 40.814229),0,1,0,0,0,0,0,0,0,-2.3621511232130703,12.64026526998003,8.475648323845668,4.652462422172785,-0.6963684890536115,2.0864381520119095,-8.341680664498929,14.061342670527239,21.27098021629013,22.835820895522374,5.808036053371142,0.11164735073506682
135 St,Manhattan,B C,2,POINT (-73.947649 40.817894),1,0,1,0,0,0,0,0,0,-1.8240343347639485,12.64026526998003,8.475648323845668,4.652462422172785,-0.6963684890536115,2.0864381520119095,-8.341680664498929,14.061342670527239,21.27098021629013,22.835820895522374,5.808036053371142,0.11164735073506682
137 St - City College,Manhattan,1,1,POINT (-73.953676 40.822008),0,1,0,0,0,0,0,0,0,-10.543921857228876,14.566554632506817,9.911242603550296,2.9983819524440505,-0.925760765239414,3.684749232343918,-4.190757922101206,11.611176586132391,23.99583069649703,25.07936507936508,3.8989601694778204,-0.11912869234044221
138 St - Grand Concourse,Bronx,4 5,2,POINT (-73.929849 40.813224),0,0,0,1,0,0,0,0,0,-1.7380509000620732,16.355011416423903,5.823418910457107,5.823756312880264,-0.824630579591068,2.7277406073082844,-10.381641919253896,16.805927794419045,16.10405660834585,21.243082162622397,7.178077463573383,-0.18028467496019607
14 St - Union Sq,Manhattan,N Q R W 4 5 6,7,POINT (-73.99025950000001 40.7352045),0,0,0,1,1,0,0,0,0,-4.24009319698959,2.389445483129506,-3.2167988383781974,-3.365819660453063,-1.296448501511982,1.2605042016806804,-8.750624834602604,-3.682336651941716,19.302614513432726,19.833438942699377,-0.4083421309483497,-1.8467887956731488
14 St / 6 Av,Manhattan,F M 1 2 3 L,6,POINT (-73.9964975 40.7377815),0,1,1,0,0,0,1,0,0,-1.6384134966339523,1.9008220631132327,-2.625318252013857,-1.324164401087478,-1.7194127959269612,1.8344308560677285,-6.671598628018025,-3.18424890617404,19.48446230058393,19.403898260641565,0.6409285129852419,-2.5124705723511664
14 St / 8 Av,Manhattan,A C E L,4,POINT (-74.002134 40.740335),1,0,0,0,0,0,1,0,0,3.0736457699330493,3.336995372514126,-2.639612138624529,1.8197932053175776,-2.2747222210555584,2.8043775649794758,-16.193162275572675,0.297388426982764,17.667014148190248,17.30595376469069,2.2600644403345314,-2.6635468305811316
145 St,Manhattan,1,1,POINT (-73.95036 40.826551),0,1,0,0,0,0,0,0,0,-5.014600745141476,41.52483148853671,5.553191489361702,4.255166222495318,-0.4036739069197215,2.3507462686567204,-10.639051159497257,15.960949152542373,26.043109974716817,21.740577973098947,5.231166285297239,-0.10691995566688428
145 St,Manhattan,3,1,POINT (-73.936245 40.820421),0,1,0,0,0,0,0,0,0,-38.55808523058961,41.52483148853671,5.553191489361702,4.255166222495318,-0.4036739069197215,2.3507462686567204,-10.639051159497257,15.960949152542373,26.043109974716817,21.740577973098947,5.231166285297239,-0.10691995566688428
145 St,Manhattan,A B C D,4,POINT (-73.944216 40.824783),1,0,1,0,0,0,0,0,0,0.7342978277022597,41.52483148853671,5.553191489361702,4.255166222495318,-0.4036739069197215,2.3507462686567204,-10.639051159497257,15.960949152542373,26.043109974716817,21.740577973098947,5.231166285297239,-0.10691995566688428
149 St - Grand Concourse,Bronx,2 4 5,3,POINT (-73.92703449999999 40.8183925),0,1,0,1,0,0,0,0,0,-9.033379694019473,17.97752808988764,5.985915492957746,5.642025666714375,-0.7254407664753715,1.998750780762048,-9.090909090909092,15.02254481469262,14.96751606407127,19.79166666666667,6.277159354723495,-0.14782675751869867
15 St - Prospect Park,Brooklyn,F G,2,POINT (-73.979493 40.660365),0,0,1,0,0,0,0,1,0,-4.838709677419355,18.62545935952158,12.270571251804496,1.87170150963466,-0.31494811979013715,4.228121927236983,-33.86327503974563,1.1459141720192196,30.45301620324815,22.623828647925034,1.1292740726410988,-2.3280399627672144
155 St,Manhattan,C,1,POINT (-73.941514 40.830518),1,0,0,0,0,0,0,0,0,25.26690391459075,63.34010531116547,4.615212277360816,3.1409839730108913,-0.18448750655484236,3.18160705991639,-14.670584778136938,14.15677554353982,26.979050722105608,19.89590726283415,5.002209177554756,-0.2536675046728609
155 St,Manhattan,B D,2,POINT (-73.938209 40.830135),0,0,1,0,0,0,0,0,0,-8.941236068895643,63.34010531116547,4.615212277360816,3.1409839730108913,-0.18448750655484236,3.18160705991639,-14.670584778136938,14.15677554353982,26.979050722105608,19.89590726283415,5.002209177554756,-0.2536675046728609
157 St,Manhattan,1,1,POINT (-73.94489 40.834041),0,1,0,0,0,0,0,0,0,3.3623677062845365,170.71814298379945,2.041547277936963,3.9744200085397514,-0.47531803846961873,1.2435991221653382,-17.817185478346907,19.693617340433512,34.72457828382211,21.384577482138457,5.138019483539997,-0.2713616803139862
161 St - Yankee Stadium,Bronx,B D 4,3,POINT (-73.925741 40.8279495),0,0,1,1,0,0,0,0,0,-3.477680557615305,11.695681446571127,10.287891617273496,4.028776978417266,0.6268439970991246,4.073482428115034,-5.502342165979165,5.204983535845641,12.914009837857531,15.974171813587873,5.340102694282582,-0.05422211119419096
163 St - Amsterdam Av,Manhattan,C,1,POINT (-73.939892 40.836013),1,0,0,0,0,0,0,0,0,-58.063725490196084,119.74546439209315,4.5662100456621,3.3173773880093584,-0.05628531096285583,1.7354877318970625,-14.45745288406625,15.14544628146128,30.84630782276626,20.000000000000004,4.692073441149514,-0.06440070988128488
167 St,Bronx,4,1,POINT (-73.9214 40.835537),0,0,0,1,0,0,0,0,0,-5.109046849757673,12.291157791890571,10.588633288227333,4.515276512919412,0.04973009057372968,4.549214226633581,-6.975539568345324,7.430994346524776,10.471255957442601,15.307203389830509,5.042427872616552,0.06675563122178207
167 St,Bronx,B D,2,POINT (-73.91844 40.833771),0,0,1,0,0,0,0,0,0,-32.344783443567316,12.291157791890571,10.588633288227333,4.515276512919412,0.04973009057372968,4.549214226633581,-6.975539568345324,7.430994346524776,10.471255957442601,15.307203389830509,5.042427872616552,0.06675563122178207
168 St,Manhattan,A C 1,3,POINT (-73.939561 40.840719),1,1,0,0,0,0,0,0,0,4.380815462641268,147.00189354092151,2.2302158273381294,3.6809173376079274,0.6551148574276966,1.267710663683831,-14.492594222026689,15.188000517856812,30.388804551282995,17.731029301277236,4.739637601972095,0.29317402467357034
169 St,Queens,F,1,POINT (-73.793604 40.71047),0,0,1,0,0,0,0,0,0,-10.318513603185137,7.925981388383785,5.143906919779547,4.2684217209125155,0.0008374523629894881,3.8011695906432665,3.488674824264514,4.971434298887441,15.0958355207474,20.114185331576635,1.7809410324949277,1.2279614413768125
170 St,Bronx,4,1,POINT (-73.917791 40.840075),0,0,0,1,0,0,0,0,0,-14.540682414698164,17.364356838041047,11.758474576271187,3.749892079084447,0.7622154998168873,1.9102990033222567,-4.51038880888706,7.552578422053231,8.240360540811217,14.131551901336072,4.073667854857875,0.5136851973217782
170 St,Bronx,B D,2,POINT (-73.9134 40.839306),0,0,1,0,0,0,0,0,0,20.569861343897607,17.364356838041047,11.758474576271187,3.749892079084447,0.7622154998168873,1.9102990033222567,-4.51038880888706,7.552578422053231,8.240360540811217,14.131551901336072,4.073667854857875,0.5136851973217782
174 St,Bronx,2 5,2,POINT (-73.887734 40.837288),0,1,0,1,0,0,0,0,0,-8.011990734432484,12.732159332504311,10.543390105433902,3.274530198445164,-0.06151510521952286,5.762711864406789,-5.71984701543505,10.819571513512477,10.729866183030245,12.159061942391029,4.182164885352417,-0.7591515231620161
174-175 Sts,Bronx,B D,2,POINT (-73.910136 40.8459),0,0,1,0,0,0,0,0,0,-34.06345957011259,17.364356838041047,11.758474576271187,3.749892079084447,0.7622154998168873,1.9102990033222567,-4.51038880888706,7.552578422053231,8.240360540811217,14.131551901336072,4.073667854857875,0.5136851973217782
175 St,Manhattan,A,1,POINT (-73.939704 40.847391),1,0,0,0,0,0,0,0,0,-5.47749643098655,132.34634661039303,0.45916693998032143,3.3915634065326605,0.136359008396858,0.27797081306463217,-16.325437693099897,17.564141375917657,31.773072692730725,20.32097649186257,5.000067917249623,-0.09454640390766933
176 St,Bronx,4,1,POINT (-73.911794 40.84848),0,0,0,1,0,0,0,0,0,-1.6596104995766299,17.364356838041047,11.758474576271187,3.749892079084447,0.7622154998168873,1.9102990033222567,-4.51038880888706,7.552578422053231,8.240360540811217,14.131551901336072,4.073667854857875,0.5136851973217782
18 Av,Brooklyn,D,1,POINT (-74.001736 40.607954),0,0,1,0,0,0,0,0,0,-0.42194092827004215,26.592326592326593,11.585017403501482,-1.2126673465289208,0.09227927944486236,1.3631090487238944,-17.313885205531353,-4.5232149987187205,14.976426966436552,17.34907477183288,-1.7282570409054014,-0.5185284104904819
18 Av,Brooklyn,F,1,POINT (-73.976971 40.629755),0,0,1,0,0,0,0,0,0,-6.113225499524263,26.592326592326593,11.585017403501482,-1.2126673465289208,0.09227927944486236,1.3631090487238944,-17.313885205531353,-4.5232149987187205,14.976426966436552,17.34907477183288,-1.7282570409054014,-0.5185284104904819
18 Av,Brooklyn,N,1,POINT (-73.990414 40.620671),0,0,0,0,1,0,0,0,0,-39.17910447761194,26.592326592326593,11.585017403501482,-1.2126673465289208,0.09227927944486236,1.3631090487238944,-17.313885205531353,-4.5232149987187205,14.976426966436552,17.34907477183288,-1.7282570409054014,-0.5185284104904819
18 St,Manhattan,1,1,POINT (-73.997871 40.74104),0,1,0,0,0,0,0,0,0,4.174015285126396,1.8202258107048432,-2.144491040792985,-0.08510196668569353,-2.3281453548868845,2.2969187675069835,-6.6173696521542285,-2.752132243031742,18.335612214804698,18.576786830589704,1.3514666484650957,-2.627801151425968
181 St,Manhattan,1,1,POINT (-73.933596 40.849505),0,1,0,0,0,0,0,0,0,1.0153188457427857,101.15844093157958,2.4766977363515315,2.6307664462827516,0.4688417432071046,0.4872456291200966,-12.898488377267805,14.358717075792867,27.938710189753994,19.208048735462423,4.4325897668966405,0.09932536865834285
181 St,Manhattan,A,1,POINT (-73.937969 40.851695),1,0,0,0,0,0,0,0,0,3.4217608612072277,101.15844093157958,2.4766977363515315,2.6307664462827516,0.4688417432071046,0.4872456291200966,-12.898488377267805,14.358717075792867,27.938710189753994,19.208048735462423,4.4325897668966405,0.09932536865834285
182-183 Sts,Bronx,B D,2,POINT (-73.900741 40.856093),0,0,1,0,0,0,0,0,0,4.3478260869565215,14.58735580969355,5.894549763033175,6.743250347086495,0.16020972997562444,0.41356492969396197,-3.871287128712871,15.337212212212211,12.737448650436988,13.444976076555024,4.752643504531722,0.7995030206396803
183 St,Bronx,4,1,POINT (-73.903879 40.858407),0,0,0,1,0,0,0,0,0,-9.528301886792454,14.868999058675872,5.00112132765194,5.705982961849358,-0.14520198518184202,0.9392611145898471,-5.751284246575342,13.207117077186096,11.131960924995866,14.124506300545402,3.7723483844363934,0.5301669491178607
190 St,Manhattan,A,1,POINT (-73.93418 40.859022),1,0,0,0,0,0,0,0,0,0.6159260888693356,9.146663149564759,2.5102692834322227,1.4085283877417354,0.6598707010124327,0.18281535648993474,-18.777970045945462,12.44695123620732,27.91515209489191,21.09766892888757,4.0418250950570345,0.06695972880708112
