station,population_2013,population_2018,employee_count_2013,employee_count_2018,business_count_2013,business_count_2018,borough,route_count,ridership_2013,ridership_2018,station_geom,rider_change,pop_change,emp_change,bus_change
1 Av,150790.0,146337.0,186477.0,182429.0,8588.0,8440.0,Manhattan,1,23467,20998,POINT (-73.981628 40.730953),-2469,-4453.0,-4048.0,-148.0
103 St,271879.0,270766.0,71711.0,73517.0,5558.0,5576.0,Manhattan,4,34449,31298,POINT (-73.95910366666668 40.79537933333334),-3151,-1113.0,1806.0,18.0
103 St - Corona Plaza,270441.0,268236.0,36619.0,41313.0,4776.0,5135.0,Queens,1,19216,19682,POINT (-73.8627 40.749865),466,-2205.0,4694.0,359.0
104 St,185563.0,188189.0,28253.0,30632.0,2824.0,3133.0,Queens,3,4311,3428,POINT (-73.84100649999999 40.6884445),-883,2626.0,2379.0,309.0
110 St,148813.0,154703.0,40270.0,44892.0,2142.0,2312.0,Manhattan,1,12162,10851,POINT (-73.94425 40.79502),-1311,5890.0,4622.0,170.0
111 St,125730.0,131377.0,37415.0,48292.0,3299.0,3442.0,Queens,3,16237,16506,POINT (-73.84128066666666 40.71115966666667),269,5647.0,10877.0,143.0
116 St,211430.0,219251.0,80870.0,91128.0,3175.0,3426.0,Manhattan,5,34777,33035,POINT (-73.948708 40.801937333333335),-1742,7821.0,10258.0,251.0
116 St - Columbia University,197878.0,196716.0,68335.0,74249.0,3623.0,3768.0,Manhattan,1,16363,15079,POINT (-73.96411 40.807722),-1284,-1162.0,5914.0,145.0
121 St,105166.0,107507.0,18305.0,20190.0,1914.0,2137.0,Queens,2,2222,1354,POINT (-73.828294 40.700492),-868,2341.0,1885.0,223.0
125 St,238917.0,250929.0,64644.0,74559.0,3336.0,3692.0,Manhattan,10,80166,77707,POINT (-73.94845099999999 40.8096455),-2459,12012.0,9915.0,356.0
135 St,194135.0,203549.0,52828.0,60300.0,2431.0,2665.0,Manhattan,4,20282,19833,POINT (-73.9442095 40.8160615),-449,9414.0,7472.0,234.0
137 St - City College,150181.0,154684.0,47307.0,54198.0,2028.0,2229.0,Manhattan,1,14947,13371,POINT (-73.953676 40.822008),-1576,4503.0,6891.0,201.0
138 St - Grand Concourse,201176.0,212892.0,50804.0,59113.0,3194.0,3380.0,Bronx,2,3222,3166,POINT (-73.929849 40.813224),-56,11716.0,8309.0,186.0
145 St,253509.0,267813.0,52828.0,78982.0,3289.0,3482.0,Manhattan,2,13357,11538,POINT (-73.9433025 40.823486),-1819,14304.0,26154.0,193.0
15 St - Prospect Park,195544.0,199204.0,43811.0,51971.0,4849.0,5444.0,Brooklyn,2,6448,6136,POINT (-73.979493 40.660365),-312,3660.0,8160.0,595.0
155 St,325753.0,335727.0,34928.0,57791.0,4328.0,4523.0,Manhattan,3,6477,6763,POINT (-73.9398615 40.8303265),286,9974.0,22863.0,195.0
