s_table_station_name,daytime_routes,complex_id,borough,station_geom
14 St,A C E,618,Manhattan,POINT(-74.00169 40.740893)
14 St,F M,601,Manhattan,POINT(-73.996209 40.738228)
14 St,1 2 3,601,Manhattan,POINT(-74.000201 40.737826)
174 St,2 5,428,Bronx,POINT(-73.887734 40.837288)
18 Av,D,66,Brooklyn,POINT(-74.001736 40.607954)
18 Av,N,74,Brooklyn,POINT(-73.990414 40.620671)
18 Av,F,245,Brooklyn,POINT(-73.976971 40.629755)
25 Av,D,69,Brooklyn,POINT(-73.986829 40.597704)
34 St - 11 Av,7,471,Manhattan,POINT(-74.00191 40.755882)
34 St - Penn Station,A C E,164,Manhattan,POINT(-73.993391 40.752287)
34 St - Penn Station,1 2 3,318,Manhattan,POINT(-73.991057 40.750373)
36 Av,N W,5,Queens,POINT(-73.929575 40.756804)
42 St - Bryant Pk,B D F M,609,Manhattan,POINT(-73.984569 40.754222)
42 St - Port Authority Bus Terminal,A C E,611,Manhattan,POINT(-73.989735 40.757308)
5 Av,7,609,Manhattan,POINT(-73.981963 40.753821)
5 Av/53 St,E M,276,Manhattan,POINT(-73.975224 40.760167)
5 Av/59 St,N W R,8,Manhattan,POINT(-73.973347 40.764811)
51 St,6,612,Manhattan,POINT(-73.97192 40.757107)
53 St,R,34,Brooklyn,POINT(-74.014034 40.645069)
59 St,N R,35,Brooklyn,POINT(-74.017881 40.641362)
59 St,4 5 6,613,Manhattan,POINT(-73.967967 40.762526)
6 Av,L,601,Manhattan,POINT(-73.996786 40.737335)
62 St,D,615,Brooklyn,POINT(-73.996895 40.626472)
74 St - Broadway,7,616,Queens,POINT(-73.891394 40.746848)
75 Av,E F,260,Queens,POINT(-73.837324 40.718331)
8 Av,N,71,Brooklyn,POINT(-74.011719 40.635064)
8 Av,L,618,Manhattan,POINT(-74.002578 40.739777)
82 St - Jackson Hts,7,453,Queens,POINT(-73.883697 40.747659)
Broadway,N W,4,Queens,POINT(-73.925508 40.76182)
Broadway,G,286,Brooklyn,POINT(-73.950308 40.706092)
Broadway-Lafayette St,B D F M,619,Manhattan,POINT(-73.996204 40.725297)
Brooklyn Bridge - City Hall,4 5 6,622,Manhattan,POINT(-74.004131 40.713065)
Chambers St,J Z,622,Manhattan,POINT(-74.003401 40.713243)
Chambers St,A C,624,Manhattan,POINT(-74.008585 40.714111)
Chambers St,1 2 3,327,Manhattan,POINT(-74.009266 40.715478)
City Hall,R W,20,Manhattan,POINT(-74.006978 40.713282)
Delancey St,F,625,Manhattan,POINT(-73.988114 40.718611)
East Broadway,F,234,Manhattan,POINT(-73.990173 40.713715)
Essex St,J M Z,625,Manhattan,POINT(-73.987437 40.718315)
Jackson Hts - Roosevelt Av,E F M R,616,Queens,POINT(-73.891338 40.746644)
Lexington Av/53 St,E M,612,Manhattan,POINT(-73.969055 40.757552)
Lexington Av/63 St,F Q,223,Manhattan,POINT(-73.966113 40.764629)
Lorimer St,J M,99,Brooklyn,POINT(-73.947408 40.703869)
Lorimer St,L,629,Brooklyn,POINT(-73.950275 40.714063)
Metropolitan Av,G,629,Brooklyn,POINT(-73.951418 40.712792)
Middle Village - Metropolitan Av,M,108,Queens,POINT(-73.889601 40.711396)
New Utrecht Av,N,615,Brooklyn,POINT(-73.996353 40.624842)
Park Pl,S,141,Brooklyn,POINT(-73.957624 40.674772)
Park Pl,2 3,624,Manhattan,POINT(-74.008811 40.713051)
South Ferry,1,635,Manhattan,POINT(-74.013664 40.702068)
Times Sq - 42 St,N Q R W,611,Manhattan,POINT(-73.986754 40.754672)
Times Sq - 42 St,1 2 3,611,Manhattan,POINT(-73.987495 40.75529)
Times Sq - 42 St,7,611,Manhattan,POINT(-73.987691 40.755477)
Times Sq - 42 St,S,611,Manhattan,POINT(-73.986229 40.755983)
Union Sq - 14 St,L,602,Manhattan,POINT(-73.99073 40.734789)
Van Cortlandt Park - 242 St,1,293,Bronx,POINT(-73.898583 40.889248)
W 4 St,B D F M,167,Manhattan,POINT(-74.000495 40.732338)
W 4 St,A C E,167,Manhattan,POINT(-74.000495 40.732338)
WTC Cortlandt,1,328,Manhattan,POINT(-74.012188 40.711835)
Whitehall St,R W,635,Manhattan,POINT(-74.012994 40.703087)
