station_complex_name,station_geom,ridership_2013,ridership_2018,routes,ridership_perc_change
1 Av,POINT (-73.981628 40.730953),23467,20998,L,-10.5
103 St,POINT (-73.968379 40.799446),13500,12569,1,-6.9
103 St,POINT (-73.947478 40.7906),16189,13285,6,-17.9
103 St,POINT (-73.961454 40.796092),4760,5444,B C,14.4
103 St - Corona Plaza,POINT (-73.8627 40.749865),19216,19682,7,2.4
104 St,POINT (-73.837683 40.681711),1736,1841,A,6.0
104 St,POINT (-73.84433 40.695178),2575,1587,J Z,-38.4
110 St,POINT (-73.94425 40.79502),12162,10851,6,-10.8
111 St,POINT (-73.855334 40.75173),10914,11091,7,1.6
111 St,POINT (-73.832163 40.684331),2718,2596,A,-4.5
111 St,POINT (-73.836345 40.697418),2605,2819,J,8.2
116 St,POINT (-73.941617 40.798629),16675,14715,6,-11.8
116 St,POINT (-73.949625 40.802098),11508,10707,2 3,-7.0
116 St,POINT (-73.954882 40.805085),6594,7613,B C,15.5
116 St - Columbia University,POINT (-73.96411 40.807722),16363,15079,1,-7.8
121 St,POINT (-73.828294 40.700492),2222,1354,J Z,-39.1
125 St,POINT (-73.958372 40.815581),7995,7679,1,-4.0
125 St,POINT (-73.945495 40.807754),15351,14746,2 3,-3.9
125 St,POINT (-73.937594 40.804138),29425,27605,4 5 6,-6.2
125 St,POINT (-73.952343 40.811109),27395,27677,A B C D,1.0
135 St,POINT (-73.94077 40.814229),14690,14343,2 3,-2.4
135 St,POINT (-73.947649 40.817894),5592,5490,B C,-1.8
137 St - City College,POINT (-73.953676 40.822008),14947,13371,1,-10.5
138 St - Grand Concourse,POINT (-73.929849 40.813224),3222,3166,4 5,-1.7
14 St - Union Sq,POINT (-73.99025950000001 40.7352045),108158,103572,N Q R W 4 5 6,-4.2
14 St / 6 Av,POINT (-73.9964975 40.7377815),49316,48508,F M 1 2 3 L,-1.6
14 St / 8 Av,POINT (-74.002134 40.740335),42718,44031,A C E L,3.1
145 St,POINT (-73.95036 40.826551),9931,9433,1,-5.0
145 St,POINT (-73.936245 40.820421),3426,2105,3,-38.6
145 St,POINT (-73.944216 40.824783),22879,23047,A B C D,0.7
149 St - Grand Concourse,POINT (-73.92703449999999 40.8183925),14380,13081,2 4 5,-9.0
15 St - Prospect Park,POINT (-73.979493 40.660365),6448,6136,F G,-4.8
155 St,POINT (-73.941514 40.830518),2529,3168,C,25.3
155 St,POINT (-73.938209 40.830135),3948,3595,B D,-8.9
157 St,POINT (-73.94489 40.834041),10677,11036,1,3.4
161 St - Yankee Stadium,POINT (-73.925741 40.8279495),26972,26034,B D 4,-3.5
163 St - Amsterdam Av,POINT (-73.939892 40.836013),4080,1711,C,-58.1
167 St,POINT (-73.9214 40.835537),9904,9398,4,-5.1
167 St,POINT (-73.91844 40.833771),9374,6342,B D,-32.3
168 St,POINT (-73.939561 40.840719),25041,26138,A C 1,4.4
169 St,POINT (-73.793604 40.71047),9042,8109,F,-10.3
170 St,POINT (-73.917791 40.840075),9525,8140,4,-14.5
170 St,POINT (-73.9134 40.839306),6563,7913,B D,20.6
174 St,POINT (-73.887734 40.837288),7339,6751,2 5,-8.0
174-175 Sts,POINT (-73.910136 40.8459),4885,3221,B D,-34.1
175 St,POINT (-73.939704 40.847391),13309,12580,A,-5.5
176 St,POINT (-73.911794 40.84848),5905,5807,4,-1.7
18 Av,POINT (-74.001736 40.607954),6162,6136,D,-0.4
18 Av,POINT (-73.976971 40.629755),4204,3947,F,-6.1
18 Av,POINT (-73.990414 40.620671),5092,3097,N,-39.2
18 St,POINT (-73.997871 40.74104),8505,8860,1,4.2
181 St,POINT (-73.933596 40.849505),11228,11342,1,1.0
181 St,POINT (-73.937969 40.851695),10404,10760,A,3.4
182-183 Sts,POINT (-73.900741 40.856093),4554,4752,B D,4.3
183 St,POINT (-73.903879 40.858407),6360,5754,4,-9.5
190 St,POINT (-73.93418 40.859022),4546,4574,A,0.6
191 St,POINT (-73.929412 40.855225),8258,8032,1,-2.7
2 Av,POINT (-73.989938 40.723402),17801,15995,F,-10.1
20 Av,POINT (-73.998168 40.604556),4859,4905,D,0.9
20 Av,POINT (-73.985026 40.61741),4190,3514,N,-16.1
207 St,POINT (-73.918822 40.864621),6098,6349,1,4.1
21 St,POINT (-73.949724 40.744065),1309,1757,G,34.2
21 St - Queensbridge,POINT (-73.942836 40.754203),8761,10840,F,23.7
215 St,POINT (-73.915279 40.869444),2078,1787,1,-14.0
219 St,POINT (-73.862633 40.883895),3483,3335,2 5,-4.2
225 St,POINT (-73.860341 40.888022),4479,3961,2 5,-11.6
23 St,POINT (-73.992821 40.742878),28749,18416,F M,-35.9
