r_table_station_name,routes,ridership_2013,ridership_2018,s_table_station_name,complex_id,borough,station_geom
1 Av,L,23467,20998,1 Av,119,Manhattan,POINT(-73.981628 40.730953)
103 St,1,13500,12569,103 St,309,Manhattan,POINT(-73.968379 40.799446)
103 St,6,16189,13285,103 St,395,Manhattan,POINT(-73.947478 40.7906)
103 St,"B,C",4760,5444,103 St,156,Manhattan,POINT(-73.961454 40.796092)
103 St - Corona Plaza,7,19216,19682,103 St - Corona Plaza,450,Queens,POINT(-73.8627 40.749865)
104 St,A,1736,1841,104 St,193,Queens,POINT(-73.837683 40.681711)
104 St,"J,Z",2575,1587,104 St,82,Queens,POINT(-73.84433 40.695178)
110 St,6,12162,10851,110 St,394,Manhattan,POINT(-73.94425 40.79502)
111 St,7,10914,11091,111 St,449,Queens,POINT(-73.855334 40.75173)
111 St,A,2718,2596,111 St,194,Queens,POINT(-73.832163 40.684331)
111 St,J,2605,2819,111 St,81,Queens,POINT(-73.836345 40.697418)
116 St,6,16675,14715,116 St,393,Manhattan,POINT(-73.941617 40.798629)
116 St,"2,3",11508,10707,116 St,440,Manhattan,POINT(-73.949625 40.802098)
116 St,"B,C",6594,7613,116 St,154,Manhattan,POINT(-73.954882 40.805085)
116 St - Columbia University,1,16363,15079,116 St - Columbia University,307,Manhattan,POINT(-73.96411 40.807722)
121 St,"J,Z",2222,1354,121 St,80,Queens,POINT(-73.828294 40.700492)
125 St,1,7995,7679,125 St,306,Manhattan,POINT(-73.958372 40.815581)
125 St,"2,3",15351,14746,125 St,439,Manhattan,POINT(-73.945495 40.807754)
125 St,"4,5,6",29425,27605,125 St,392,Manhattan,POINT(-73.937594 40.804138)
125 St,"A,B,C,D",27395,27677,125 St,153,Manhattan,POINT(-73.952343 40.811109)
135 St,"2,3",14690,14343,135 St,438,Manhattan,POINT(-73.94077 40.814229)
135 St,"B,C",5592,5490,135 St,152,Manhattan,POINT(-73.947649 40.817894)
137 St - City College,1,14947,13371,137 St - City College,305,Manhattan,POINT(-73.953676 40.822008)
138 St - Grand Concourse,"4,5",3222,3166,138 St - Grand Concourse,391,Bronx,POINT(-73.929849 40.813224)
145 St,1,9931,9433,145 St,304,Manhattan,POINT(-73.95036 40.826551)
145 St,3,3426,2105,145 St,437,Manhattan,POINT(-73.936245 40.820421)
