r_table_station_name,routes,ridership_2013,ridership_2018,s_table_station_name,complex_id,borough,station_geom
14 St - Union Sq,"N,Q,R,W,4,5,6",108158,103572,,,,
14 St / 6 Av,"F,M,1,2,3 / L",49316,48508,,,,
14 St / 8 Av,"A,C,E / L",42718,44031,,,,
145 St,"A,B,C,D",22879,23047,,,,
149 St - Grand Concourse,"2,4,5",14380,13081,,,,
161 St - Yankee Stadium,"B,D,4",26972,26034,,,,
168 St,"A,C, 1",25041,26138,,,,
34 St - Herald Sq,"B,D,F,M,N,Q,R,W",122517,126576,,,,
34 St - Hudson Yards,7,,10789,,,,
4 Av,"F,G,R",13156,12560,,,,
42 St - Bryant Pk / 5 Av,"B,D,F,M / 7",53222,55872,,,,
59 St - Columbus Circle,"A,B,C,D,1",72236,73003,,,,
74 St - Broadway / Jackson Hts - Roosevelt Av,"7 / E,F,M,R",50841,51766,,,,
Alabama Av,L,2443,2147,,,,
Atlantic Av - Barclays Ctr,"B,D,N,Q,R,2,3,4,5",39871,43211,,,,
Avenue H,Q,2861,3418,,,,
Avenue J,Q,6036,6058,,,,
Avenue M,Q,5836,6001,,,,
Avenue U,Q,6821,7323,,,,
Beverley Rd,Q,2340,3350,,,,
Broadway Jct,"A,C,J,L,Z",8863,8142,,,,
Broadway-Lafayette St / Blecker St,"B,D,F,M / 6",38799,36493,,,,
Brooklyn Bridge - City Hall / Chambers St,"4,5,6 / J,Z",36680,30932,,,,
Canal St,"J,N,Q,R,W,Z,6",44696,47034,,,,
Chambers St / WTC / Park Place,"A,C / E / 2,3",58923,72396,,,,
Church Av,"F,G",9984,9492,,,,
Cortelyou Rd,Q,5318,6276,,,,
Court Sq,"E,G,M,7",20446,23995,,,,
Court St,"R/ 2,3,4,5",38428,35599,,,,
Delancey St / Essex St,"F / J,M,Z",23691,24562,,,,
Franklin Av,"C,S",6227,6358,,,,
Franklin Av,"2,3,4,5,S",15775,14581,,,,
Fulton St,"A,C,J,Z,2,3,4,5",64461,92990,,,,
Grand Central - 42 St,"S,4,5,6,7",153861,155345,,,,
Hoyt St,"A,C",6657,6938,,,,
Jay St - MetroTech,"A,C,F,R",40183,42274,,,,
Lexington Av/53 St / 51 St,"E,M/ 6",69973,64499,,,,
Lexington Av/59 St,"N,W,R / 4,5,6",67841,55608,,,,
Lorimer St / Metropolitan Av,L/G,14004,14299,,,,
Myrtle - Wyckoff Avs,"L,M",18167,21241,,,,
New Utrecht Av / 62 St,N / G,5159,4673,,,,
Queensboro Plaza,"N,W,7",11132,14517,,,,
South Ferry / Whitehall St,"1 R,W",20405,33797,,,,
Times Sq - 42 St / 42 St,"N,Q,R,W,S,1,2,3,7 / A,C,E",197696,204017,,,,
W 4 St - Washington Sq,"A,B,C,D,E,F,M",40798,40666,,,,
