borough,station,route,ridership_2013,ridership_2018,station_geom
Bronx,138 St - Grand Concourse,4 5,3222,3166,POINT(-73.929849 40.813224)
Bronx,167 St,4,9904,9398,POINT(-73.9214 40.835537)
Bronx,167 St,B D,9374,6342,POINT(-73.91844 40.833771)
Bronx,170 St,4,9525,8140,POINT(-73.917791 40.840075)
Bronx,170 St,B D,6563,7913,POINT(-73.9134 40.839306)
Bronx,174 St,2 5,7339,6751,POINT(-73.887734 40.837288)
Bronx,174-175 Sts,B D,4885,3221,POINT(-73.910136 40.8459)
Bronx,176 St,4,5905,5807,POINT(-73.911794 40.84848)
Bronx,182-183 Sts,B D,4554,4752,POINT(-73.900741 40.856093)
Bronx,183 St,4,6360,5754,POINT(-73.903879 40.858407)
Bronx,219 St,2 5,3483,3335,POINT(-73.862633 40.883895)
Bronx,225 St,2 5,4479,3961,POINT(-73.860341 40.888022)
Bronx,231 St,1,8951,10287,POINT(-73.904834 40.878856)
Bronx,233 St,2 5,5473,4864,POINT(-73.857473 40.893193)
Bronx,238 St,1,3598,3225,POINT(-73.90087 40.884667)
Bronx,3 Av - 138 St,6,7667,7801,POINT(-73.926138 40.810476)
Bronx,3 Av - 149 St,2 5,24001,22357,POINT(-73.917757 40.816109)
Bronx,Allerton Av,2 5,5526,5144,POINT(-73.867352 40.865462)
Bronx,Baychester Av,5,4177,3551,POINT(-73.838591 40.878663)
Bronx,Bedford Park Blvd,B D,6303,6419,POINT(-73.887138 40.873244)
Bronx,Bedford Park Blvd - Lehman College,4,6201,5170,POINT(-73.890064 40.873412)
Bronx,Bronx Park East,2 5,2959,2498,POINT(-73.868457 40.848828)
Bronx,Brook Av,6,6186,6040,POINT(-73.91924 40.807566)
Bronx,Buhre Av,6,3718,3744,POINT(-73.832569 40.84681)
Bronx,Burke Av,2 5,3612,3234,POINT(-73.867164 40.871356)
Bronx,Burnside Av,4,11560,10231,POINT(-73.907684 40.853453)
Bronx,Castle Hill Av,6,5632,6483,POINT(-73.851222 40.834255)
Bronx,Cypress Av,6,3842,3651,POINT(-73.914042 40.805368)
Bronx,E 143 St - St Mary's St,6,911,1019,POINT(-73.907657 40.808719)
Bronx,E 149 St,6,4580,4842,POINT(-73.904098 40.812118)
Bronx,E 180 St,2 5,7003,7175,POINT(-73.873488 40.841894)
Bronx,Eastchester - Dyre Av,5,4948,4506,POINT(-73.830834 40.8883)
Bronx,Elder Av,6,6377,6323,POINT(-73.879159 40.828584)
Bronx,Fordham Rd,4,12558,10395,POINT(-73.901034 40.862803)
Bronx,Fordham Rd,B D,11878,11361,POINT(-73.897749 40.861296)
Bronx,Freeman St,2 5,4762,4451,POINT(-73.891865 40.829993)
Bronx,Gun Hill Rd,2 5,7339,6930,POINT(-73.866256 40.87785)
Bronx,Gun Hill Rd,5,6002,5362,POINT(-73.846384 40.869526)
Bronx,Hunts Point Av,6,10144,10460,POINT(-73.890549 40.820948)
Bronx,Intervale Av,2 5,3420,3130,POINT(-73.896736 40.822181)
Bronx,Jackson Av,2 5,5432,5288,POINT(-73.907807 40.81649)
Bronx,Kingsbridge Rd,4,10431,8992,POINT(-73.897174 40.86776)
Bronx,Kingsbridge Rd,B D,7422,7922,POINT(-73.893509 40.866978)
Bronx,Longwood Av,6,3494,3395,POINT(-73.896435 40.816104)
Bronx,Middletown Rd,6,1514,2036,POINT(-73.836322 40.843863)
Bronx,Morris Park,5,2210,2417,POINT(-73.860495 40.854364)
Bronx,Morrison Av- Sound View,6,6588,6361,POINT(-73.874516 40.829521)
Bronx,Mosholu Pkwy,4,9588,8195,POINT(-73.884655 40.87975)
Bronx,Mt Eden Av,4,5995,5337,POINT(-73.914685 40.844434)
Bronx,Nereid Av,2 5,3878,3437,POINT(-73.854376 40.898379)
Bronx,Norwood - 205 St,D,8043,8429,POINT(-73.878855 40.874811)
Bronx,Parkchester,6,16614,15660,POINT(-73.860816 40.833226)
Bronx,Pelham Bay Park,6,6772,7001,POINT(-73.828121 40.852462)
Bronx,Pelham Pkwy,2 5,9614,8472,POINT(-73.867615 40.857192)
Bronx,Pelham Pkwy,5,3254,3083,POINT(-73.855359 40.858985)
Bronx,Prospect Av,2 5,7424,7038,POINT(-73.90177 40.819585)
Bronx,Simpson St,2 5,9672,8477,POINT(-73.893064 40.824073)
Bronx,St Lawrence Av,6,3995,4040,POINT(-73.867618 40.831509)
Bronx,Tremont Av,B D,9157,10398,POINT(-73.905227 40.85041)
Bronx,Van Cortlandt Park - 242 St,1,6943,7742,POINT(-73.898583 40.889248)
Bronx,Wakefield - 241 St,2,4825,4763,POINT(-73.85062 40.903125)
Bronx,West Farms Sq - E Tremont Av,2 5,7979,6866,POINT(-73.880049 40.840295)
